text,category,priority
Natural disaster has disrupted life in zone 137. for future planning,Disaster,LOW
There has been a continuous problem with food services affecting daily life. Case 917 to support ongoing recovery,Food,MEDIUM
pls help no doctor here following a severe disaster,Health,HIGH
Village 153 requires installation of water supply systems. as part of current needs,Water,MEDIUM
Sanitation infrastructure is inadequate in zone 357. as part of current needs,Sanitation,MEDIUM
Water scarcity is affecting daily life in region 346. as part of current needs,Water,MEDIUM
"In the slum area, the community kitchen is running but supplies are low for more than two weeks, kids are getting weak. We really need help soon because kids are getting weak. to support ongoing recovery",Food,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 167 to support ongoing recovery,Shelter,MEDIUM
The situation regarding health has worsened significantly in recent days. Case 69 with people in urgent distress,Health,HIGH
Residents report ongoing health problems making survival difficult. Case 832 due to a critical situation,Health,HIGH
Workers in locality 245 are struggling to find jobs. for future planning,Livelihood,LOW
Residents report ongoing health problems making survival difficult. Case 439 due to a critical situation,Health,HIGH
Village 27 requires installation of water supply systems. as part of current needs,Water,MEDIUM
Unemployment is rising in community 322. as a general requirement,Livelihood,LOW
Water scarcity is affecting daily life in region 136. due to a critical situation,Water,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 292 as part of current needs,Food,MEDIUM
Families in region 53 lack stable income sources. with people in urgent distress,Livelihood,HIGH
no teacher coming regularly as a general requirement,Education,LOW
Electricity supply is unreliable in region 360. for timely assistance,Infrastructure,MEDIUM
People in this area are facing severe issues related to food and need support immediately. Case 374 to help the affected community,Food,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 671 for future planning,Shelter,LOW
Infrastructure development is needed in zone 96. as lives are at immediate risk,Infrastructure,HIGH
Public transport is unavailable in locality 160. with people in urgent distress,Infrastructure,HIGH
Water scarcity is affecting daily life in region 375. to help the affected community,Water,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 990 to help the affected community,Shelter,MEDIUM
Community 408 depends on contaminated water sources. as a general requirement,Water,LOW
Unemployment is rising in community 386. as part of current needs,Livelihood,MEDIUM
Workers in locality 174 are struggling to find jobs. to help the affected community,Livelihood,MEDIUM
Earthquake impact is severe in region 127. to support ongoing recovery,Disaster,MEDIUM
Roads in village 99 are damaged and unsafe. for future planning,Infrastructure,LOW
Bridges in area 273 require urgent repair. for routine support,Infrastructure,LOW
"In the hill tribe area, midday meal stopped and kids not coming to school for more than two weeks, pregnant women need help. due to a critical situation",Education,HIGH
People in this area are facing severe issues related to health and need support immediately. Case 35 following a severe disaster,Health,HIGH
Bridges in area 402 require urgent repair. to help the affected community,Infrastructure,MEDIUM
"living outside sometimes, very difficult situation to help the affected community",Shelter,MEDIUM
"people sick no clinic open, very difficult situation due to a critical situation",Health,HIGH
Workers in locality 37 are struggling to find jobs. for routine support,Livelihood,LOW
People in this area are facing severe issues related to food and need support immediately. Case 159 due to a critical situation,Food,HIGH
Livelihood support is required for households in zone 126. with people in urgent distress,Livelihood,HIGH
Livelihood support is required for households in zone 352. due to a critical situation,Livelihood,HIGH
Workers in locality 401 are struggling to find jobs. to help the affected community,Livelihood,MEDIUM
The situation regarding food has worsened significantly in recent days. Case 680 following a severe disaster,Food,HIGH
Waste disposal systems are absent in locality 165. as lives are at immediate risk,Sanitation,HIGH
"We are facing acute food shortage the last 10 days, the community is desperate can't survive like this. due to a critical situation",Food,HIGH
Waste disposal systems are absent in locality 78. for future planning,Sanitation,LOW
Roads in village 277 are damaged and unsafe. as part of current needs,Infrastructure,MEDIUM
Public transport is unavailable in locality 41. to help the affected community,Infrastructure,MEDIUM
Workers in locality 141 are struggling to find jobs. for future planning,Livelihood,LOW
need urgent medical help as part of current needs,Health,MEDIUM
Unemployment is rising in community 26. to support ongoing recovery,Livelihood,MEDIUM
"In my locality, epidemic spreading fast in this drought, children are suffering badly and no health workers. with people in urgent distress",Health,HIGH
Earthquake impact is severe in region 129. to prepare for upcoming needs,Disaster,LOW
Workers in locality 403 are struggling to find jobs. with people in urgent distress,Livelihood,HIGH
Open defecation is common in region 16. to help the affected community,Sanitation,MEDIUM
Unemployment is rising in community 259. as part of current needs,Livelihood,MEDIUM
Workers in locality 180 are struggling to find jobs. following a severe disaster,Livelihood,HIGH
Natural disaster has disrupted life in zone 180. to prepare for upcoming needs,Disaster,LOW
Earthquake impact is severe in region 266. as a general requirement,Disaster,LOW
Community 389 is facing hygiene issues due to poor sanitation. following a severe disaster,Sanitation,HIGH
Community 296 depends on contaminated water sources. for future planning,Water,LOW
Many families are impacted due to lack of proper food resources. Case 509 as lives are at immediate risk,Food,HIGH
Water scarcity is affecting daily life in region 93. as a general requirement,Water,LOW
People in this area are facing severe issues related to education and need support immediately. Case 174 as a general requirement,Education,LOW
Public transport is unavailable in locality 369. for routine support,Infrastructure,LOW
need urgent medical help with people in urgent distress,Health,HIGH
Livelihood support is required for households in zone 260. following a severe disaster,Livelihood,HIGH
Livelihood support is required for households in zone 5. as a general requirement,Livelihood,LOW
Bridges in area 46 require urgent repair. to prepare for upcoming needs,Infrastructure,LOW
Flooding has displaced families in area 277. due to a critical situation,Disaster,HIGH
Residents in area 158 walk long distances for water collection. as a general requirement,Water,LOW
Village 290 requires installation of water supply systems. due to a critical situation,Water,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 269 to help the affected community,Food,MEDIUM
Village 207 requires installation of water supply systems. for routine support,Water,LOW
"Teachers not trained for new syllabus since last month, my family is in trouble. to help the affected community",Education,MEDIUM
Electricity supply is unreliable in region 252. due to a critical situation,Infrastructure,HIGH
Residents in area 257 walk long distances for water collection. as lives are at immediate risk,Water,HIGH
Infrastructure development is needed in zone 338. following a severe disaster,Infrastructure,HIGH
Many families are impacted due to lack of proper education resources. Case 679 as part of current needs,Education,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 568 for timely assistance,Education,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 196 for timely assistance,Education,MEDIUM
Workers in locality 106 are struggling to find jobs. with people in urgent distress,Livelihood,HIGH
Open defecation is common in region 398. as lives are at immediate risk,Sanitation,HIGH
There has been a continuous problem with education services affecting daily life. Case 952 to help the affected community,Education,MEDIUM
Education related issue reported in area 399 requiring attention. as part of current needs,Education,MEDIUM
Household 6 reports lack of clean drinking water access. as lives are at immediate risk,Water,HIGH
Community 53 is recovering from cyclone damage. following a severe disaster,Disaster,HIGH
Families in region 350 lack stable income sources. with people in urgent distress,Livelihood,HIGH
Many families are impacted due to lack of proper food resources. Case 890 for timely assistance,Food,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 267 to help the affected community,Health,MEDIUM
The situation regarding food has worsened significantly in recent days. Case 451 as lives are at immediate risk,Food,HIGH
Natural disaster has disrupted life in zone 235. as part of current needs,Disaster,MEDIUM
Residents report ongoing food problems making survival difficult. Case 194 with people in urgent distress,Food,HIGH
Waste disposal systems are absent in locality 328. to support ongoing recovery,Sanitation,MEDIUM
"people sick no clinic open, affecting everyone here due to a critical situation",Health,HIGH
Bridges in area 408 require urgent repair. due to a critical situation,Infrastructure,HIGH
Infrastructure development is needed in zone 154. as part of current needs,Infrastructure,MEDIUM
There has been a continuous problem with food services affecting daily life. Case 616 as part of current needs,Food,MEDIUM
There has been a continuous problem with shelter services affecting daily life. Case 317 for timely assistance,Shelter,MEDIUM
Residents report ongoing health problems making survival difficult. Case 384 due to a critical situation,Health,HIGH
The situation regarding health has worsened significantly in recent days. Case 552 for timely assistance,Health,MEDIUM
Earthquake impact is severe in region 397. with people in urgent distress,Disaster,HIGH
many falling ill here for timely assistance,Health,MEDIUM
Community 69 depends on contaminated water sources. to help the affected community,Water,MEDIUM
Community 35 depends on contaminated water sources. to support ongoing recovery,Water,MEDIUM
Infrastructure development is needed in zone 398. to support ongoing recovery,Infrastructure,MEDIUM
Water scarcity is affecting daily life in region 320. to prepare for upcoming needs,Water,LOW
hospital too far cant go to help the affected community,Health,MEDIUM
There has been a continuous problem with food services affecting daily life. Case 752 to support ongoing recovery,Food,MEDIUM
Livelihood support is required for households in zone 135. to help the affected community,Livelihood,MEDIUM
Health related issue reported in area 409 requiring attention. for timely assistance,Health,MEDIUM
Residents report ongoing education problems making survival difficult. Case 53 as part of current needs,Education,MEDIUM
"no food since 2 days, not sure what to do with people in urgent distress",Food,HIGH
"need urgent medical help, getting worse daily for future planning",Health,LOW
The situation regarding shelter has worsened significantly in recent days. Case 21 to prepare for upcoming needs,Shelter,LOW
"living outside sometimes, need support soon as lives are at immediate risk",Shelter,HIGH
Infrastructure development is needed in zone 278. for future planning,Infrastructure,LOW
Natural disaster has disrupted life in zone 60. to prepare for upcoming needs,Disaster,LOW
Community 184 is recovering from cyclone damage. as lives are at immediate risk,Disaster,HIGH
Waste disposal systems are absent in locality 188. as part of current needs,Sanitation,MEDIUM
The situation regarding education has worsened significantly in recent days. Case 199 to help the affected community,Education,MEDIUM
Village 265 requires installation of water supply systems. as part of current needs,Water,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 954 due to a critical situation,Health,HIGH
Residents report ongoing food problems making survival difficult. Case 782 following a severe disaster,Food,HIGH
"There is no food in our area for the past week, women and children are affected from starvation. We really need help soon because women and children are affected. with people in urgent distress",Food,HIGH
Families in region 385 lack stable income sources. for future planning,Livelihood,LOW
Families in region 253 lack stable income sources. to support ongoing recovery,Livelihood,MEDIUM
Infrastructure development is needed in zone 185. to help the affected community,Infrastructure,MEDIUM
Residents report ongoing health problems making survival difficult. Case 713 following a severe disaster,Health,HIGH
Unemployment is rising in community 38. as a general requirement,Livelihood,LOW
Household 54 reports lack of clean drinking water access. due to a critical situation,Water,HIGH
The situation regarding education has worsened significantly in recent days. Case 318 as a general requirement,Education,LOW
Community 149 is facing hygiene issues due to poor sanitation. for future planning,Sanitation,LOW
Earthquake impact is severe in region 357. to support ongoing recovery,Disaster,MEDIUM
"house leaking in rain, cant manage anymore for routine support",Shelter,LOW
Waste disposal systems are absent in locality 125. to support ongoing recovery,Sanitation,MEDIUM
Many families are impacted due to lack of proper education resources. Case 207 as a general requirement,Education,LOW
There has been a continuous problem with health services affecting daily life. Case 765 as lives are at immediate risk,Health,HIGH
Community 132 depends on contaminated water sources. for timely assistance,Water,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 311 as lives are at immediate risk,Shelter,HIGH
Many families are impacted due to lack of proper food resources. Case 59 to help the affected community,Food,MEDIUM
Waste disposal systems are absent in locality 301. for timely assistance,Sanitation,MEDIUM
Bridges in area 250 require urgent repair. as part of current needs,Infrastructure,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 824 as a general requirement,Education,LOW
Electricity supply is unreliable in region 394. to help the affected community,Infrastructure,MEDIUM
Public transport is unavailable in locality 59. for timely assistance,Infrastructure,MEDIUM
Relief support is needed after disaster in locality 198. following a severe disaster,Disaster,HIGH
Waste disposal systems are absent in locality 163. for timely assistance,Sanitation,MEDIUM
Natural disaster has disrupted life in zone 401. with people in urgent distress,Disaster,HIGH
Area 199 lacks proper sanitation and toilet facilities. to support ongoing recovery,Sanitation,MEDIUM
Electricity supply is unreliable in region 332. as lives are at immediate risk,Infrastructure,HIGH
"too many people small space, affecting everyone here as part of current needs",Shelter,MEDIUM
Workers in locality 327 are struggling to find jobs. due to a critical situation,Livelihood,HIGH
Flooding has displaced families in area 200. to prepare for upcoming needs,Disaster,LOW
Flooding has displaced families in area 114. for future planning,Disaster,LOW
Many families are impacted due to lack of proper shelter resources. Case 864 as lives are at immediate risk,Shelter,HIGH
Unemployment is rising in community 202. as a general requirement,Livelihood,LOW
Public transport is unavailable in locality 33. due to a critical situation,Infrastructure,HIGH
Families in region 137 lack stable income sources. for future planning,Livelihood,LOW
Families in region 312 lack stable income sources. to support ongoing recovery,Livelihood,MEDIUM
Many families are impacted due to lack of proper education resources. Case 148 as a general requirement,Education,LOW
Relief support is needed after disaster in locality 5. due to a critical situation,Disaster,HIGH
Earthquake impact is severe in region 96. due to a critical situation,Disaster,HIGH
"living outside sometimes, very difficult situation to prepare for upcoming needs",Shelter,LOW
Household 263 reports lack of clean drinking water access. for future planning,Water,LOW
Area 361 lacks proper sanitation and toilet facilities. as lives are at immediate risk,Sanitation,HIGH
There has been a continuous problem with health services affecting daily life. Case 789 following a severe disaster,Health,HIGH
"food supply stopped suddenly, pls help for timely assistance",Food,MEDIUM
Residents report ongoing food problems making survival difficult. Case 74 as part of current needs,Food,MEDIUM
Roads in village 145 are damaged and unsafe. as a general requirement,Infrastructure,LOW
Many families are impacted due to lack of proper education resources. Case 487 for routine support,Education,LOW
"no medicine available nearby, need support soon as lives are at immediate risk",Health,HIGH
"roof broken unsafe living, affecting everyone here for timely assistance",Shelter,MEDIUM
Community 295 depends on contaminated water sources. with people in urgent distress,Water,HIGH
People in area 241 need skill development opportunities. as a general requirement,Livelihood,LOW
Open defecation is common in region 244. for future planning,Sanitation,LOW
Workers in locality 184 are struggling to find jobs. to support ongoing recovery,Livelihood,MEDIUM
Earthquake impact is severe in region 162. with people in urgent distress,Disaster,HIGH
Infrastructure development is needed in zone 391. to help the affected community,Infrastructure,MEDIUM
People in this area are facing severe issues related to food and need support immediately. Case 967 for timely assistance,Food,MEDIUM
People in area 89 need skill development opportunities. for routine support,Livelihood,LOW
Waste disposal systems are absent in locality 280. for timely assistance,Sanitation,MEDIUM
Bridges in area 117 require urgent repair. for future planning,Infrastructure,LOW
Education related issue reported in area 404 requiring attention. for future planning,Education,LOW
Open defecation is common in region 11. due to a critical situation,Sanitation,HIGH
Household 412 reports lack of clean drinking water access. for routine support,Water,LOW
Sanitation infrastructure is inadequate in zone 59. following a severe disaster,Sanitation,HIGH
The situation regarding shelter has worsened significantly in recent days. Case 100 to support ongoing recovery,Shelter,MEDIUM
Many families are impacted due to lack of proper education resources. Case 187 as a general requirement,Education,LOW
Workers in locality 391 are struggling to find jobs. as part of current needs,Livelihood,MEDIUM
"In the slum area, people want awareness on healthy eating in this drought, the elderly can't cope. as a general requirement",Food,LOW
There has been a continuous problem with health services affecting daily life. Case 218 with people in urgent distress,Health,HIGH
Many families are impacted due to lack of proper education resources. Case 7 as part of current needs,Education,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 2 for timely assistance,Health,MEDIUM
Bridges in area 217 require urgent repair. as a general requirement,Infrastructure,LOW
"school closed most days, pls help following a severe disaster",Education,HIGH
Open defecation is common in region 276. with people in urgent distress,Sanitation,HIGH
Bridges in area 284 require urgent repair. as part of current needs,Infrastructure,MEDIUM
Families in region 192 lack stable income sources. to support ongoing recovery,Livelihood,MEDIUM
Community 350 is facing hygiene issues due to poor sanitation. with people in urgent distress,Sanitation,HIGH
Natural disaster has disrupted life in zone 131. due to a critical situation,Disaster,HIGH
Waste disposal systems are absent in locality 323. due to a critical situation,Sanitation,HIGH
Residents report ongoing education problems making survival difficult. Case 278 to support ongoing recovery,Education,MEDIUM
"no food since 2 days, need support soon for future planning",Food,LOW
Infrastructure development is needed in zone 87. as lives are at immediate risk,Infrastructure,HIGH
Community 32 is facing hygiene issues due to poor sanitation. as part of current needs,Sanitation,MEDIUM
Community 22 is recovering from cyclone damage. for routine support,Disaster,LOW
"many falling ill here, affecting everyone here for routine support",Health,LOW
There has been a continuous problem with food services affecting daily life. Case 792 for timely assistance,Food,MEDIUM
"roof broken unsafe living, pls help as lives are at immediate risk",Shelter,HIGH
Many families are impacted due to lack of proper food resources. Case 217 for timely assistance,Food,MEDIUM
Flooding has displaced families in area 407. for future planning,Disaster,LOW
Families in region 94 lack stable income sources. as lives are at immediate risk,Livelihood,HIGH
"too many people small space, needs improvement for timely assistance",Shelter,MEDIUM
The situation regarding shelter has worsened significantly in recent days. Case 446 to support ongoing recovery,Shelter,MEDIUM
Many families are impacted due to lack of proper education resources. Case 585 for timely assistance,Education,MEDIUM
too many people small space following a severe disaster,Shelter,HIGH
Earthquake impact is severe in region 275. for timely assistance,Disaster,MEDIUM
People in area 365 need skill development opportunities. to help the affected community,Livelihood,MEDIUM
